X1,X2,Y
60,52,1
45,22,0
22,98,1
63,64,1
45,1,0
67,35,1
41,42,0
61,24,0
8,44,0
50,67,1
27,80,1
88,54,1
92,51,1
1,29,0
73,37,1
78,15,0
66,15,0
98,91,1
77,28,1
39,39,0
47,99,1
62,21,0
93,72,1
47,69,1
11,23,0
46,36,0
95,9,1
90,2,0
18,21,0
18,93,1
39,35,0
10,35,0
12,79,0
67,99,1
33,93,1
24,91,1
28,45,0
97,33,1
44,67,1
46,68,1
25,55,0
13,58,0
53,94,1
67,80,1
49,11,0
39,55,0
68,38,1
46,46,0
82,95,1
78,29,1
79,35,1
3,27,0
61,23,0
57,54,1
75,78,1
35,91,1
3,90,0
76,56,1
100,55,1
6,52,0
81,63,1
84,86,1
83,54,1
75,0,0
87,47,1
76,37,1
34,29,0
27,12,0
20,1,0
4,39,0
55,26,0
4,18,0
33,55,0
72,70,1
78,80,1
20,84,1
68,48,1
5,2,0
35,27,0
19,36,0
34,19,0
48,27,0
0,100,0
92,73,1
96,87,1
97,66,1
36,21,0
77,71,1
14,36,0
98,23,1
63,5,0
1,1,0
47,11,0
76,13,0
31,82,1
82,80,1
14,11,0
91,24,1
80,98,1
70,47,1
43,59,1
