X1,X2,Y
66,20,0
65,78,0
77,92,0
42,61,0
81,70,0
80,49,0
16,45,1
84,24,0
72,39,0
55,31,0
64,83,0
72,41,0
18,23,1
98,83,0
72,82,0
12,36,1
14,95,1
70,28,0
89,37,0
5,24,1
89,36,0
22,66,1
48,60,0
79,73,0
78,24,0
66,18,0
9,7,1
39,18,1
47,60,0
36,91,1
70,45,0
47,82,0
26,90,1
26,69,1
43,59,0
80,4,0
99,59,0
38,27,1
17,7,1
56,82,0
84,58,0
12,8,1
75,11,0
1,22,1
41,52,0
68,82,0
11,51,1
68,14,0
39,36,1
36,60,1
6,32,1
100,54,0
81,68,0
56,9,0
12,19,1
71,93,0
83,49,0
64,4,0
35,93,1
46,67,0
40,29,0
6,9,1
2,95,1
63,61,0
54,89,0
19,66,1
87,95,0
9,76,1
73,46,0
40,28,0
61,4,0
5,21,1
62,89,0
6,20,1
68,22,0
50,30,0
76,78,0
20,69,1
43,65,0
39,79,1
49,4,0
100,48,0
54,96,0
50,43,0
87,65,0
37,72,1
31,3,1
34,79,1
2,23,1
45,65,0
81,56,0
22,97,1
26,57,1
9,8,1
29,12,1
86,78,0
30,12,1
91,81,0
51,16,0
18,51,1
63,60,0
